Country;Date;Bee_name
Germany;19-7-2022;Bombus lapidarius
Germany;19-7-2022;Apis mellifera
Germany;19-7-2022;Bombus lapidarius
Germany;19-7-2022;Bombus lapidarius
Germany;19-7-2022;Apis mellifera
Germany;19-7-2022;Bombus lapidarius
Germany;19-7-2022;Bombus lapidarius
Germany;19-7-2022;Bombus lapidarius
Germany;19-7-2022;Apis mellifera
Germany;19-7-2022;Bombus lapidarius
Germany;19-7-2022;Bombus lapidarius
Germany;19-7-2022;Bombus lapidarius
Germany;19-7-2022;Apis mellifera
Germany;11-8-2022;Andrena flavipes
Germany;11-8-2022;Bombus lapidarius
Germany;11-8-2022;Bombus lapidarius
Germany;11-8-2022;Bombus lapidarius
Germany;11-8-2022;Halictus scabiosae
Germany;11-8-2022;Lasioglossum villosulum
Germany;11-8-2022;Apis mellifera
Germany;11-8-2022;Bombus spec
Germany;11-8-2022;Apis mellifera
Germany;11-8-2022;Apis mellifera
Germany;11-8-2022;Bombus lapidarius
Germany;11-8-2022;Lasioglossum leucozonium
Germany;11-8-2022;Apis mellifera
Germany;11-8-2022;Andrena minutula
Germany;11-8-2022;Bombus lapidarius
Germany;11-8-2022;Bombus lapidarius
Germany;11-8-2022;Bombus lapidarius
Germany;11-8-2022;Colletes daviesanus
Germany;11-8-2022;Colletes daviesanus
Germany;11-8-2022;Apis mellifera
Germany;11-8-2022;Apis mellifera
Germany;1-6-2022;Andrena labiata
Germany;1-6-2022;Bombus lapidarius
Germany;1-6-2022;Halictus simplex
Germany;1-6-2022;Megachile versicolor
Germany;1-6-2022;Bombus lapidarius
Germany;14-6-2022;Bombus lapidarius
Germany;14-6-2022;Lasioglossum costulatum
Germany;14-6-2022;Lasioglossum costulatum
Germany;14-6-2022;Bombus hortorum
Germany;14-6-2022;Lasioglossum morio
Germany;14-6-2022;Lasioglossum pauxillum
Germany;14-6-2022;Xylocopa violacea
Germany;29-6-2022;Bombus lapidarius
Germany;29-6-2022;Bombus pascuorum
Germany;29-6-2022;Bombus terrestris
Germany;29-6-2022;Bombus terrestris
